feature,coefficient
humidity,0.9279830225198432
heat_stress,-0.7307442618601828
heat_index_f,-0.6630281232726213
precip_in,0.5360691360982213
cold_stress,0.5298191760152546
hour_sin,-0.40450113905768836
wind_mph,0.3472048597237849
visibility_mi,-0.2628152729950406
aqi,-0.21452470009133817
hour_cos,-0.1970181788631236
smoke_haze,-0.08190963030550884
is_weekend,0.06895518841218415
