threshold,model,adapt_all
0.05,0.028048274023889073,-0.0008120052811335862
0.1,0.018372394299846894,-0.05641267224119657
0.2,0.006595218466611704,-0.18846425627134614
0.3,0.0002860171273785621,-0.3582448643101099
0.4,0.0015702901110980216,-0.5846190083617949
0.5,-0.001177717583323518,-0.9015428100341538
