group,n,base_rate,auroc,brier,cal_slope
fall,2118,0.015108593012275733,0.8951641898370086,0.013698653943683152,1.4597576027772154
spring,2073,0.02894356005788712,0.946133465805597,0.022520504871541964,1.5472275796636483
summer,2143,0.006066262249183388,0.9095341278439869,0.005397068360318978,1.4886994861276366
winter,1870,0.051871657754010696,0.8860455515434844,0.05525936483753269,1.2971447734338148
