model,n,base_rate,auroc,auprc,brier,log_loss,ece,cal_slope,cal_intercept
Climatology,8204,0.02462213554363725,0.6922347383451167,0.04607740480331623,0.02748281499542818,0.13642529215415966,0.05302749611497718,1.0576038015431888,-1.100430792223085
Logistic (unweighted),8204,0.02462213554363725,0.9364861754858316,0.4876567064728958,0.02124434622331166,0.09501976787797457,0.04414566124322463,1.0650824047355822,-1.4467323763783333
Logistic (balanced),8204,0.02462213554363725,0.9397214434015259,0.4475710869194758,0.12838951900107065,0.4304949651182874,0.2530832250642684,0.6925643569620251,-3.8312935174443834
Logistic (balanced) + calibration,8204,0.02462213554363725,0.9395875041140704,0.46764937139850526,0.028888795529592004,0.11392134995972812,0.06434336452830448,1.2177029950866667,-1.7834895152582926
Gradient boosting,8204,0.02462213554363725,0.9412318949965479,0.525255687642823,0.024991342260602414,0.09678367260652403,0.046351405332935754,1.0173654439467457,-1.7115518351761128
