group,n,base_rate,auroc,brier,cal_slope
weekday,5760,0.023958333333333335,0.9072523058997005,0.02239303620881968,1.1329744040033378
weekend,2444,0.02618657937806874,0.9540112920168067,0.025211046166520364,1.4514640130683338
